name	platform	year_of_release	genre	publisher	na_sales	eu_sales	jp_sales	other_sales	critic_score	critic_count	user_score	user_count	developer	rating	popularity score							
Weii Sports	Weii	2006	Sports	Ninti	41510000	29297000	3795000	8506000	7.5	51	7.9	322	Ninti	E	7.845308311							
Marrison Kart Weii	Weii	2008	Racing	Ninti	15888000	12517000	3719000	3247000	8.3	73	8.4	709	Ninti	E	8.390664962							
Weii Sports Resort	Weii	2009	Sports	Ninti	15771000	11010000	3232000	2945000	8.1	73	8	192	Ninti	E	8.02754717							
New Super Marrison Bros.	DS	2006	Platform	Ninti	11491000	9165000	6475000	2827000	8.7	65	8.6	431	Ninti	E	8.613104839							
Weii Play	Weii	2006	Misc	Ninti	13847000	9192000	2929000	2829000	5.7	41	6.7	129	Ninti	E	6.458823529							
New Super Marrison Bros. Weii	Weii	2009	Platform	Ninti	14713000	7066000	4647000	2215000	8.6	80	8.3	594	Ninti	E	8.335608309							
Marrison Kart DS	DS	2005	Racing	Ninti	9752000	7609000	4117000	1901000	9.3	64	8.5	464	Ninti	E	8.596969697							
Weii Fit	Weii	2007	Sports	Ninti	8834000	7990000	3530000	2163000	8	63	7.6	146	Ninti	E	7.720574163							
Kinect Adventures!	X360	2010	Misc	Microsoft Game Studios	14805000	4939000	236000	1721000	6.1	45	6.3	106	Good Science Studio	E	6.240397351							
Weii Fit Plus	Weii	2009	Sports	Ninti	9176000	8574000	2501000	1764000	8	33	7.5	52	Ninti	E	7.694117647							
Grand Steal Auto V	PS3	2013	Action	Take-Two Interactive	7132000	9072000	961000	4017000	9.7	50	8.2	3994	Rockstar North	M	8.218545994							
Grand Steal Auto: San Andreas	PS2	2004	Action	Take-Two Interactive	9274000	407000	412000	10690000	9.4	80	9	1588	Rockstar North	M	9.019184652							
Brain Age: Train Your Brain in Minutes a Day	DS	2005	Misc	Ninti	4734000	9034000	4128000	2076000	7.7	58	7.9	50	Ninti	E	7.792592593							
Grand Steal Auto V	X360	2013	Action	Take-Two Interactive	9797000	5108000	60000	1426000	9.7	58	8	3711	Rockstar North	M	8.026160785							
