name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,popularity_score,global_sales
Weii Sports,Weii,2006,Sports,Ninti,41510000,29297000,3795000,8506000,7.5,51,7.9,322,Ninti,E,7.845308311,83108000
Marrison Kart Weii,Weii,2008,Racing,Ninti,15888000,12517000,3719000,3247000,8.3,73,8.4,709,Ninti,E,8.390664962,35371000
Weii Sports Resort,Weii,2009,Sports,Ninti,15771000,11010000,3232000,2945000,8.1,73,8.0,192,Ninti,E,8.02754717,32958000
New Super Marrison Bros.,DS,2006,Platform,Ninti,11491000,9165000,6475000,2827000,8.7,65,8.6,431,Ninti,E,8.613104839,29958000
Weii Play,Weii,2006,Misc,Ninti,13847000,9192000,2929000,2829000,5.7,41,6.7,129,Ninti,E,6.458823529,28797000
New Super Marrison Bros. Weii,Weii,2009,Platform,Ninti,14713000,7066000,4647000,2215000,8.6,80,8.3,594,Ninti,E,8.335608309,28641000
Marrison Kart DS,DS,2005,Racing,Ninti,9752000,7609000,4117000,1901000,9.3,64,8.5,464,Ninti,E,8.596969697,23379000
Weii Fit,Weii,2007,Sports,Ninti,8834000,7990000,3530000,2163000,8.0,63,7.6,146,Ninti,E,7.720574163,22517000
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14805000,4939000,236000,1721000,6.1,45,6.3,106,Good Science Studio,E,6.240397351,21701000
Weii Fit Plus,Weii,2009,Sports,Ninti,9176000,8574000,2501000,1764000,8.0,33,7.5,52,Ninti,E,7.694117647,22015000
Grand Steal Auto V,PS3,2013,Action,Take-Two Interactive,7132000,9072000,961000,4017000,9.7,50,8.2,3994,Rockstar North,M,8.218545994,21182000
Grand Steal Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9274000,407000,412000,10690000,9.4,80,9.0,1588,Rockstar North,M,9.019184652,20783000
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Ninti,4734000,9034000,4128000,2076000,7.7,58,7.9,50,Ninti,E,7.792592593,19972000
Grand Steal Auto V,X360,2013,Action,Take-Two Interactive,9797000,5108000,60000,1426000,9.7,58,8.0,3711,Rockstar North,M,8.026160785,16391000
Grand Steal Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8341000,5434000,463000,1803000,9.4,62,8.8,730,Rockstar North,M,8.846969697,16041000
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Ninti,3491000,5386000,5227000,1163000,7.6,37,7.1,19,Ninti,E,7.430357143,15267000
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6726000,5025000,1837000,1165000,9.7,54,8.5,314,Polyphony Digital,E,8.676086957,14753000
Call of War: Modern Warfare 3,X360,2011,Shooter,Activision,9049000,4206000,130000,1323000,8.7,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M,3.448817375,14708000
Call of War: Black Ops,X360,2010,Shooter,Activision,9704000,3739000,109000,1146000,8.8,89,6.2,1454,Treyarch,M,6.349967596,14698000
Call of War: Black Ops II,PS3,2012,Shooter,Activision,4934000,5713000,640000,2410000,8.2,21,5.3,922,Treyarch,M,5.364581124,13697000
Call of War: Black Ops II,X360,2012,Shooter,Activision,8340000,4199000,69000,1103000,8.4,73,4.7,2256,Treyarch,M,4.81597252,13711000
Call of War: Modern Warfare 2,X360,2009,Shooter,Activision,8546000,3639000,82000,1304000,9.5,100,6.2,2698,Infinity Ward,M,6.317941387,13571000
Call of War: Modern Warfare 3,PS3,2011,Shooter,Activision,5443000,5665000,484000,1600000,8.7,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M,3.24067893,13192000
Grand Steal Auto III,PS2,2001,Action,Take-Two Interactive,7007000,4485000,297000,1295000,9.6,56,8.6,664,DMA Design,M,8.677777778,13084000
Super Smash Bros. Brawl,Weii,2008,Fighting,Ninti,6627000,2544000,2609000,1028000,9.2,81,9.1,1662,Game Arts,T,9.10464716,12808000
Marrison Kart 7,3DS,2011,Racing,Ninti,5048000,3957000,2734000,915000,8.6,73,8.1,632,"Retro Studios, Entertainment Analysis & Development Division",E,8.15177305,12654000
Call of War: Black Ops,PS3,2010,Shooter,Activision,6014000,4342000,487000,1816000,8.9,58,6.4,1094,Treyarch,M,6.525868056,12659000
Grand Steal Auto V,PS4,2014,Action,Take-Two Interactive,4022000,6301000,380000,1989000,9.6,66,8.2,2899,Rockstar North,M,8.231163575,12692000
Animal Crossing: Wild World,DS,2005,Simulation,Ninti,2501000,3461000,5369000,862000,8.5,57,8.7,242,Ninti,E,8.66187291,12193000
Halo 3,X360,2007,Shooter,Microsoft Game Studios,8076000,2780000,129000,1217000,9.3,86,7.9,4100,"Bungie Software, Bungie",M,7.928762542,12202000
