name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,user_score,rating,na_population,eu_population,jp_population,other_population,critic_count,user_count,developer,popularity_score
Weii Sports,Weii,2006,Sports,Ninti,41510000,29297000,3795000,8506000,83108000,7.5,7.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,51,322,Ninti,7.845308311
New Super Marrison Bros.,DS,2006,Platform,Ninti,11491000,9165000,6475000,2827000,29958000,8.7,8.6,E,441042795.0,766795552.0,127854000.0,67886698528.0,65,431,Ninti,8.613104839
Weii Play,Weii,2006,Misc,Ninti,13847000,9192000,2929000,2829000,28797000,5.7,6.7,E,441042795.0,766795552.0,127854000.0,67886698528.0,41,129,Ninti,6.458823529
The Legend of Zelda: Twilight Princess,Weii,2006,Action,Ninti,3699000,2099000,593000,682000,7073000,9.5,9.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,73,1658,Ninti,9.212651646
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3517000,1908000,69000,604000,6098000,9.6,8.3,M,441042795.0,766795552.0,127854000.0,67886698528.0,88,2295,Epic Games,8.348006714
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1876000,0,2322000,1731000,5929000,9.2,7.5,T,441042795.0,766795552.0,127854000.0,67886698528.0,64,972,Square Enix,7.605019305
Cooking Mama,DS,2006,Simulation,505 Games,3017000,1896000,71000,576000,5560000,6.7,7.3,E,441042795.0,766795552.0,127854000.0,67886698528.0,35,21,Taito Corporation,6.925
Grand Steal Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1689000,2019000,158000,1198000,5064000,8.6,7.9,M,441042795.0,766795552.0,127854000.0,67886698528.0,50,150,Rockstar Leeds,8.075
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3670000,244000,10000,599000,4523000,8.5,8.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,29,39,EA Sports,8.270588235
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,100000,2352000,1048000,870000,4370000,8.6,8.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,19,33,Konami,8.790384615
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2773000,1018000,132000,400000,4323000,9.5,8.8,M,441042795.0,766795552.0,127854000.0,67886698528.0,90,1109,Bethesda Softworks,8.852543786
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1713000,1710000,142000,759000,4324000,8.6,8.0,M,441042795.0,766795552.0,127854000.0,67886698528.0,70,715,Insomniac Games,8.053503185
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2470000,1023000,0,748000,4241000,8.6,8.5,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,59,109,Ready at Dawn,8.535119048
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1556000,1611000,59000,669000,3895000,8.5,7.4,T,441042795.0,766795552.0,127854000.0,67886698528.0,9,220,Evolution Studios,7.443231441
