year,na_population,eu_population,jp_population,other_population
1995,389677579.0,752404193.0,125439000.0,58193784310.0
1996,394753352.0,753426788.0,125757000.0,59092845808.0
1997,399925939.0,754574635.0,126057000.0,59992287809.0
1998,404923356.0,755532866.0,126400000.0,60881572138.0
1999,409839779.0,756576235.0,126631000.0,61760555078.0
2000,414651784.0,757096902.0,126843000.0,62632009762.0
2001,419117923.0,757955857.0,127149000.0,63501676746.0
2002,423342801.0,759045653.0,127445000.0,64368176920.0
2003,427424386.0,760807208.0,127718000.0,65238997171.0
2004,431795881.0,762800814.0,127761000.0,66115385737.0
2005,436300827.0,764805841.0,127773000.0,66998176363.0
2006,441042795.0,766795552.0,127854000.0,67886698528.0
2007,445955481.0,769138207.0,128001000.0,68780075066.0
2008,451001548.0,771685354.0,128063000.0,69686694928.0
2009,455905328.0,774060012.0,128047000.0,70602184837.0
2010,460662636.0,776148282.0,128070000.0,71523726409.0
2011,465077077.0,776897830.0,127833000.0,72444229318.0
2012,469572124.0,779411783.0,127629000.0,73382335014.0
2013,473922844.0,782460700.0,127445000.0,74337899914.0
2014,478379473.0,785498808.0,127276000.0,75300911552.0
2015,482763301.0,788536943.0,127141000.0,76266344737.0
2016,487210962.0,791478789.0,126994511.0,77237462090.0
2017,491590537.0,794036461.0,126785797.0,78208029194.0
